num,R,G,B
A1,255,245,220
A2,240,250,220
A3,255,240,100
A4,255,200,0
A5,255,180,50
A6,255,165,0
A7,255,120,50
A8,255,245,180
A9,255,170,100
A10,255,100,50
A11,255,200,180
A12,255,220,200
A13,255,140,60
A14,255,80,60
A15,255,250,50
A16,255,240,200
A17,220,180,100
A18,255,180,120
A19,255,100,100
A20,200,160,120
A21,220,200,150
A22,255,230,150
A23,180,150,120
A24,240,250,230
A25,200,160,80
A26,255,160,100
B1,200,255,50
B2,180,255,100
B3,220,255,200
B4,100,200,50
B5,50,150,50
B6,150,255,200
B7,50,200,200
B8,20,100,50
B9,80,100,80
B10,150,220,200
B11,100,120,80
B12,10,80,30
B13,220,255,150
B14,180,255,50
B15,50,80,50
B16,240,255,230
B17,150,200,50
B18,200,255,150
B19,50,200,150
B20,230,255,240
B21,50,150,200
B22,20,80,100
B23,60,80,80
B24,220,255,220
B25,20,150,180
B26,150,180,150
B27,200,220,200
B28,230,255,230
B29,180,220,100
B30,240,255,240
B31,220,255,230
B32,100,120,100
C1,220,255,230
C2,100,200,255
C3,200,230,255
C4,150,220,255
C5,50,200,255
C6,100,150,255
C7,0,100,200
C8,0,50,180
C9,50,50,200
C10,200,240,255
C11,150,220,220
C12,50,80,120
C13,220,240,255
C14,240,250,255
C15,150,255,220
C16,0,80,180
C17,100,220,255
C18,80,100,150
C19,20,150,200
C20,50,100,200
C21,200,220,255
C22,150,200,220
C23,200,220,230
C24,150,200,255
C25,100,255,220
C26,100,200,200
C27,230,240,255
C28,200,210,220
C29,50,70,120
D1,180,200,255
D2,200,180,255
D3,0,80,200
D4,50,70,150
D5,200,150,255
D6,180,100,255
D7,150,50,200
D8,220,200,255
D9,230,210,255
D10,100,50,150
D11,200,220,255
D12,255,200,255
D13,200,50,150
D14,150,80,200
D15,50,50,150
D16,230,220,255
D17,200,210,255
D18,180,100,200
D19,255,220,255
D20,150,70,200
D21,180,80,200
D22,80,80,180
D23,240,230,255
D24,180,200,255
D25,50,60,150
D26,255,230,255
E1,255,220,220
E2,255,200,220
E3,255,180,200
E4,255,150,180
E5,255,100,150
E6,255,50,100
E7,200,50,100
E8,255,240,240
E9,200,100,180
E10,180,50,150
E11,255,220,200
E12,255,210,220
E13,200,50,120
E14,255,220,200
E15,255,200,180
E16,255,230,200
E17,255,230,230
E18,255,210,220
E19,255,200,210
E20,220,200,210
E21,200,180,170
E22,200,150,160
E23,150,130,140
E24,220,200,220
F1,255,200,150
F2,255,150,150
F3,255,120,100
F4,255,50,50
F5,200,50,50
F6,200,150,120
F7,200,50,100
F8,150,50,50
F9,255,200,200
F10,150,100,80
F11,120,80,100
F12,255,80,80
F13,255,180,150
F14,255,220,200
F15,255,60,60
F16,255,230,210
F17,255,200,180
F18,200,180,170
F19,200,80,100
F20,200,160,140
F21,255,220,220
F22,255,230,220
F23,255,200,180
F24,255,240,220
F25,255,50,50
G1,255,240,220
G2,200,180,150
G3,220,200,180
G4,200,180,120
G5,255,200,150
G6,200,150,100
G7,150,100,80
G8,120,80,50
G9,220,200,150
G10,200,180,100
G11,180,200,180
G12,200,180,160
G13,150,120,100
G14,120,90,70
G15,255,240,230
G16,255,240,200
G17,100,90,80
G18,255,240,220
G19,255,200,150
G20,150,100,100
G21,200,190,180
H1,255,255,255
H2,255,255,255
H3,220,220,220
H4,200,200,200
H5,150,150,150
H6,0,0,0
H7,20,20,20
H8,255,220,220
H9,240,240,240
H10,220,220,230
H11,200,200,210
H12,255,240,220
H13,255,240,200
H14,220,220,220
H15,200,220,230
H16,10,10,10
H17,230,230,230
H18,255,240,220
H19,255,240,200
H20,180,180,180
H21,255,240,230
H22,200,200,200
H23,200,200,190
M1,200,220,200
M2,100,120,120
M3,80,100,120
M4,200,200,200
M5,200,200,150
M6,120,120,120
M7,200,180,170
M8,200,180,200
M9,150,120,150
M10,200,200,220
M11,150,100,180
M12,150,100,100
M13,200,180,160
M14,200,80,100
M15,200,200,190
Y1,255,100,150
Y2,255,150,50
Y3,100,255,50
Y4,50,200,255
Y5,200,100,255
P1,255,255,255
P2,200,200,200
P3,100,200,100
P4,255,100,100
P5,255,200,0
P6,50,200,200
P7,255,200,220
P8,255,240,100
P9,220,220,220
P10,200,150,255
P11,255,240,220
P12,100,220,255
P13,50,200,255
P14,0,100,200
P15,20,100,50
P16,200,255,50
P17,255,200,50
P18,255,220,200
P19,255,240,240
P20,255,220,230
P21,200,180,180
P22,255,150,180
P23,200,50,100
R1,255,100,100
R2,255,200,220
R3,255,160,100
R4,255,240,100
R5,100,255,100
R6,50,255,200
R7,0,150,255
R8,0,100,255
R9,150,100,255
R10,255,240,150
R11,255,220,230
R12,200,200,200
R13,50,50,50
R14,200,255,255
R15,150,255,255
R16,50,200,255
R17,100,255,200
R18,50,255,150
R19,150,255,100
R20,255,220,150
R21,255,240,220
R22,255,200,180
R23,255,200,150
R24,255,220,220
R25,255,200,180
R26,255,220,230
R27,255,200,255
R28,150,100,255
T1,255,255,255
